product_id,product_distribution_center_id
13844,7
14086,7
13726,7
14106,7
28405,1
29047,1
29020,8
28810,7
28682,7
28717,7
29110,7
28859,7
28814,7
29070,7
28869,7
28967,7
28709,7
28775,7
28825,7
28649,7
28604,7
28841,7
28874,7
28953,7
28781,7
28516,7
29003,7
29067,7
28792,7
28610,7
29082,7
29095,7
29016,7
28638,7
14245,10
28989,6
28400,3
28746,3
28809,3
28497,3
13720,3
28969,3
28330,3
28427,3
28772,3
13961,3
13684,3
13756,3
13615,3
13737,7
28820,6
13947,6
28887,1
13612,9
13648,3
13796,4
13722,3
28646,1
14102,7
13771,2
28571,2
28344,3
14111,2
13658,2
28883,1
28486,1
13710,1
14208,8
14043,1
14244,2
28928,2
14049,8
14058,1
28569,8
28348,1
13622,1
13646,1
13790,1
28322,1
28474,1
13642,1
28329,1
28343,1
14228,6
13857,9
13748,9
13930,9
14037,9
14073,9
14064,9
14336,9
28439,5
13907,3
13945,8
14282,8
13918,8
28762,8
28318,5
13828,8
13665,8
13998,8
14117,2
29014,8
29041,8
29108,2
28843,2
14090,3
14306,7
28710,10
28551,5
29004,10
29072,10
28766,10
28349,1
28673,6
28737,6
14252,3
13825,1
28976,1
28383,7
14188,1
13908,1
14198,2
14290,2
14285,8
14038,8
13661,1
28415,1
13926,4
29099,1
13801,1
13769,1
28357,4
13929,1
13847,1
14271,1
28467,4
13896,1
13901,1
13987,1
13839,1
28446,6
28934,7
28443,4
14029,3
14108,1
28557,6
28759,3
28689,10
28395,1
14165,5
28854,4
28669,4
14113,4
28370,1
13659,2
13827,8
13943,4
29120,5
29040,5
28981,2
28800,10
28533,10
13789,10
29000,10
29043,5
28398,2
29012,2
28402,2
28573,2
28572,1
13773,9
13867,9
28923,4
13864,1
14181,1
28834,3
28431,3
13927,9
14331,2
13637,4
28654,4
28581,4
28325,4
13978,9
29113,10
13910,8
14127,8
13871,8
13841,8
13837,8
13944,8
13742,6
13725,6
14246,10
13800,8
13711,4
13766,6
28965,3
28562,3
28707,3
28444,3
29066,3
29063,3
28334,3
28399,3
28412,3
28990,3
14289,3
29027,1
14243,1
28830,3
29021,3
13810,3
28911,3
28306,3
28350,3
28893,3
28485,3
28706,3
28437,3
28984,3
28791,3
28362,3
28598,3
28331,3
28475,3
28304,3
28919,3
28313,3
28301,3
28459,3
28732,3
28957,3
29100,3
28478,3
